Spieler,,Verein,Pos.,Mio.,PI,DN,PI V.,DN V.,
,Ravet,Freiburg,MIT,"1,7",,,25,"2,9",merken

,Haraguchi,Hannover,MIT,"1,7",,,-4,"4,2",merken

,Bauer,Nürnberg,ABW,"1,7",,,-8,"4,3",merken

,Tisserand,Wolfsburg,ABW,"1,7",,,7,"3,9",merken

,Esswein,Hertha,MIT,"1,6",,,21,"3,8",merken

,Zimmermann,Düsseldorf,ABW,"1,6",,,2,"4,0",merken

,Ilsanker,Leipzig,MIT,"1,6",,,13,"3,8",merken

,Hoffmann,Düsseldorf,ABW,"1,6",,,,,merken

,Dragovic,Leverkusen,ABW,"1,6",,,-3,"4,5",merken

,Morales,Düsseldorf,MIT,"1,6",,,,,merken

,Schmid,Augsburg,MIT,"1,6",,,9,"4,0",merken

,Kaminski,Stuttgart,ABW,"1,6",,,11,"3,9",merken

,Gießelmann,Düsseldorf,ABW,"1,6",,,,,merken

,Abrashi,Freiburg,MIT,"1,6",,,25,"3,4",merken

,Karaman,Düsseldorf,MIT,"1,6",,,22,"3,9",merken

,Maxim,Mainz,MIT,"1,6",,,21,"3,9",merken

,Quaison,Mainz,STU,"1,6",,,33,"3,9",merken

,Kleindienst,Freiburg,STU,"1,6",,,41,"3,5",merken

,Jedvaj,Leverkusen,ABW,"1,6",,,10,"3,7",merken

,Klünter,Hertha,ABW,"1,6",,,-6,"4,2",merken

,Mühl,Nürnberg,ABW,"1,6",,,,,merken

,Zrelak,Nürnberg,STU,"1,6",,,,,merken

,Lienhart,Freiburg,ABW,"1,6",,,4,"4,0",merken

,Felipe Pires,Hoffenheim,MIT,"1,6",,,,,merken

,Cuisance,Gladbach,MIT,"1,6",,,36,"3,5",merken

,Russ,Frankfurt,ABW,"1,5",,,36,"3,5",merken

,Ulreich,Bayern,TOR,"1,5",,,167,"2,8",merken

,Fernandes,Frankfurt,MIT,"1,5",,,35,"3,4",merken

,Pekarik,Hertha,ABW,"1,5",,,24,"3,7",merken

,Terrazzino,Freiburg,MIT,"1,5",,,23,"3,8",merken

,Sorg,Hannover,ABW,"1,5",,,17,"3,8",merken

,Contento,Düsseldorf,ABW,"1,5",,,,,merken

,Ostrzolek,Hannover,ABW,"1,5",,,32,"3,7",merken

,Hofmann,Gladbach,MIT,"1,5",,,26,"3,8",merken

,Usami,Düsseldorf,MIT,"1,5",,,0,,merken

,Ujah,Mainz,STU,"1,5",,,5,"4,5",merken

,Albornoz,Hannover,ABW,"1,5",,,12,"3,8",merken

,Stafylidis,Augsburg,ABW,"1,5",,,2,,merken

,Bazoer,Wolfsburg,MIT,"1,5",,,-21,"4,8",merken

,Bormuth,Düsseldorf,ABW,"1,5",,,,,merken

,Hübers,Hannover,ABW,"1,5",,,19,"3,1",merken

,Sarenren Bazee,Hannover,MIT,"1,5",,,5,"4,0",merken

,Richter,Augsburg,STU,"1,5",,,18,"3,6",merken

,Salli,Nürnberg,STU,"1,5",,,,,merken

,Steffen,Wolfsburg,MIT,"1,5",,,-1,"4,4",merken

,Duda,Hertha,MIT,"1,5",,,0,"4,3",merken

,Torro,Frankfurt,MIT,"1,5",,,,,merken

,Baku,Mainz,MIT,"1,5",,,24,"2,8",merken

,Sosa,Stuttgart,ABW,"1,5",,,,,merken

,Lukebakio,Düsseldorf,STU,"1,5",,,,,merken

,Asano,Hannover,MIT,"1,5",,,11,"4,0",merken

,Jensen,Augsburg,MIT,"1,5",,,,,merken

,Schieber,Augsburg,STU,"1,4",,,-1,"4,5",merken

,Prib,Hannover,MIT,"1,4",,,0,,merken

,Donati,Mainz,ABW,"1,4",,,7,"3,9",merken

,Bruno,Leipzig,MIT,"1,4",,,,,merken

,Erras,Nürnberg,MIT,"1,4",,,,,merken

,Fossum,Hannover,MIT,"1,4",,,23,"3,7",merken

,Joelinton,Hoffenheim,STU,"1,4",,,,,merken

,Otto,Hoffenheim,STU,"1,4",,,0,,merken

,Allan,Frankfurt,MIT,"1,4",,,,,merken

,Dilrosun,Hertha,MIT,"1,4",,,,,merken

,Petrak,Nürnberg,MIT,"1,3",,,,,merken

,Geraldes,Frankfurt,MIT,"1,3",,,,,merken

,Fink,Düsseldorf,MIT,"1,2",,,,,merken

,Strobl,Gladbach,MIT,"1,2",,,12,"2,8",merken

,Tawatha,Frankfurt,ABW,"1,2",,,12,"3,9",merken

,Framberger,Augsburg,ABW,"1,2",,,10,"3,7",merken

,Kübler,Freiburg,ABW,"1,2",,,6,"3,9",merken

,Stendera,Frankfurt,MIT,"1,2",,,9,"3,7",merken

,Özcan,Stuttgart,MIT,"1,2",,,16,"3,9",merken

,Elez,Hannover,ABW,"1,2",,,-4,"4,1",merken

,Mittelstädt,Hertha,ABW,"1,2",,,6,"4,0",merken

,Barkok,Düsseldorf,MIT,"1,2",,,2,"4,1",merken

,Bruun Larsen,Dortmund,MIT,"1,2",,,0,"4,3",merken

,Friedl,Bremen,ABW,"1,2",,,12,"3,6",merken

,Isak,Dortmund,STU,"1,2",,,6,"3,5",merken

,Pizarro,Bremen,STU,"1,0",,,9,"4,0",merken

,Bungert,Mainz,ABW,"1,0",,,0,,merken

,Bodzek,Düsseldorf,MIT,"1,0",,,,,merken

,Özcan,Leverkusen,TOR,"1,0",,,8,"2,0",merken

,Giefer,Augsburg,TOR,"1,0",,,0,,merken

,Caldirola,Bremen,ABW,"1,0",,,-2,"4,5",merken

,Zentner,Mainz,TOR,"1,0",,,52,"3,2",merken

,Ji,Augsburg,MIT,"1,0",,,3,,merken

,Zulj,Hoffenheim,MIT,"1,0",,,-2,"4,2",merken

,Pohjanpalo,Leverkusen,STU,"1,0",,,8,"4,0",merken

,Hrgota,Frankfurt,STU,"1,0",,,-10,"5,0",merken

,Mvogo,Leipzig,TOR,"1,0",,,4,"3,0",merken

,Johannsson,Bremen,STU,"1,0",,,23,"3,3",merken

,Kath,Freiburg,MIT,"1,0",,,15,"4,0",merken

,Itter,Wolfsburg,ABW,"1,0",,,2,"3,9",merken

,Berggreen,Mainz,STU,"1,0",,,20,"3,9",merken

,Bussmann,Mainz,ABW,"1,0",,,0,,merken

,Posch,Hoffenheim,ABW,"1,0",,,14,"3,6",merken

,Cordova,Augsburg,STU,"1,0",,,19,"4,1",merken

,Ndicka,Frankfurt,ABW,"1,0",,,,,merken

,Sippel,Gladbach,TOR,"0,8",,,21,"3,0",merken

,Kraft,Hertha,TOR,"0,8",,,29,"2,0",merken

,Blum,Frankfurt,MIT,"0,8",,,6,,merken

,Moravek,Augsburg,MIT,"0,8",,,12,"3,7",merken

,Wiedwald,Frankfurt,TOR,"0,8",,,,,merken

,Stefaniak,Wolfsburg,MIT,"0,8",,,0,,merken

,Huth,Mainz,TOR,"0,8",,,0,,merken

,Höler,Freiburg,STU,"0,8",,,-7,"4,3",merken

,Götze,Augsburg,ABW,"0,8",,,0,,merken

,Knöll,Nürnberg,STU,"0,8",,,1,,merken

,Jaeckel,Wolfsburg,ABW,"0,8",,,11,"3,3",merken

,Hack,Hoffenheim,STU,"0,8",,,13,"2,0",merken

,Pervan,Wolfsburg,TOR,"0,8",,,,,merken

,Bennetts,Gladbach,STU,"0,8",,,,,merken

,Zagadou,Dortmund,ABW,"0,8",,,6,"3,8",merken

